uf;localidade;CEP;expr.;rodo;tarifa;frap;distribuidor;redespacho
MG;SARZEDO;32450000; 06; 07;Capital;Sim;FL JAD BELO HORIZONTE;
MG;SEM PEIXE;35441000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SENADOR AMARAL;37615000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SENADOR CORTES;36650000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SENADOR FIRMINO;36540000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SENADOR JOSE BENTO;37558000; 04; 05;Interior;Sim;CO POCOS DE CALDAS 01;
MG;SENADOR MODESTINO GONCALVES;39190000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SENHORA DE OLIVEIRA;36470000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SENHORA DO PORTO;39745000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SENHORA DOS REMEDIOS;36275000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SERICITA;35368000; 04; 05;Interior;Sim;CO IPATINGA 01;
MG;SERITINGA;37454000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SERRA AZUL DE MINAS;39165000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SERRA DA SAUDADE;35617000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SERRA DO SALITRE;38760000; 04; 05;Interior;Sim;CO PATOS DE MINAS 01;
MG;SERRA DOS AIMORES;39868000; 03; 04;Interior;Sim;CO TEOFILO OTONI 01;
MG;SERRANIA;37136000; 03; 04;Interior;Nao;CO ALFENAS 01;
MG;SERRANOPOLIS DE MINAS;39518000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SERRANOS;37452000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SERRO;39150000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SETE LAGOAS;35700000 a 35704999; 01; 02;Capital;Sim;CO SETE LAGOAS 01;
MG;SETUBINHA;39688000; 05; 06;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SILVEIRANIA;36185000; 04; 05;Interior;Nao;FL JAD BELO HORIZONTE;
MG;SILVIANOPOLIS;37560000; 10; 12;Interior;Nao;CO POUSO ALEGRE 01;
MG;SIMAO PEREIRA;36123000; 03; 04;Interior;Nao;CO JUIZ DE FORA 01;
MG;SIMONESIA;36930000; 06; 08;Interior;Nao;CO MANHUACU 01;
MG;SOBRALIA;35145000; 05; 06;Interior;Nao;CO GOV VALADARES 01;
MG;SOLEDADE DE MINAS;37478000; 03; 04;Interior;Nao;CO ITAJUBA 01;
MG;TABAUNA;35206000; 03; 04;Interior;Nao;FL JAD BELO HORIZONTE;
MG;TABULEIRO;36165000; 03; 04;Interior;Nao;CO JUIZ DE FORA 01;
MG;TAIOBEIRAS;39550000; 05; 06;Interior;Sim;CO MONTES CLAROS 01;
MG;TAPARUBA;36953000; 05; 06;Interior;Sim;CO IPATINGA 01;
MG;TAPIRA;38185000; 03; 04;Interior;Sim;CO ARAXA 01;
